title,first_cleaned_reviews
Phoenix Wright: Ace Attorney Trilogy,잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏 잠깐 이의 이의 있다 받아랏 받아랏
Phoenix Wright: Ace Attorney Trilogy,따로 따로 설명 설명 하다 의미 의미 있다 게임 치졸하다 치졸하다 하나 내다 내다 다른 회사 회사 달리 달리 아무리 아무리 잘만 잘만 잘나가다 잘나가다 겜 게임 답 묶다 묶다 내다 내다 걸 모자라 모자라 리 마스터 마스터 작 내주다 내주다 나 폴더 폴더 폰 그 구리다 구리다 화질 화질 하다 않다 되다 그 하나 하나 말 인 짧다 짧다 게임 아니다 전부 충분하다 충분하다 기다 기다 스토리 스토리 각각 매력 매력 있다 각부 각부 각각 원 파다 파다 납득 납득 하다 가격 소리 소리 뭐 대부분 대부분 공통 공통 되다 불만 불만 라면 라면 이기다 이기다 를 못 듣다 듣다 때문 난 음질 음질 듣다 듣다 그냥 한국말 한국말 듣다 듣다 나아 나아 보임 보임 역다 역다 좋아하다 좋아하다 당연하다 당연하다 좋아하다 좋아하다 만하 만하 역다 역다 해봤다 해봤다 추리 추리 어드벤쳐 어드벤쳐 물 좋아하다 좋아하다 충분하다 충분하다 좋아하다 좋아하다 게임 임 늘 그렇다 취향 취향 차다 차다 있다 캐릭터 캐릭터 개연 개연 퍼즐 퍼즐 맘 안 때 가끔 가끔 있다 함 개인 개인 점 정도 정도
Phoenix Wright: Ace Attorney Trilogy,다시 하다 넘다 넘다 감동 감동 엇다 엇다 제발 제발 제발 제발 제발 제발 제발 제발 편도 편도 묶다 묶다 정발 정발 해주다 해주다 제발 제발 캡콤 캡콤 리즈 리즈
Phoenix Wright: Ace Attorney Trilogy,자다 자다 하다 중 데이터 데이터 로딩 로딩 더 이상 진행 안되다 스팀 클라우드 클라우드 끌다 끌다 게임 목록 목록 우 클릭 클릭 제일 제일 아래 속성 속성 클릭 클릭 업데이트 업데이트 목록 목록 클릭 클릭 스팀 클라우드 클라우드 체크 체크 해제 해제 닫다 닫다 클릭 클릭
Phoenix Wright: Ace Attorney Trilogy,역전재판 역전재판 은 믿다 믿다 하다 이제 이 스팀 나오다 나오다 하다 국문과 국문과 출신 출신 번역 번역 상당하다 상당하다 불편하다 불편하다
Phoenix Wright: Ace Attorney Trilogy,것 하다 한글화 한글화 하다 제발 제발 것 역 검도 검도 제발 제발
Phoenix Wright: Ace Attorney Trilogy,상대방 상대방 삿대질 삿대질 하다 이의 이의 있다 하다 게임 모르다 모르다 일단 이의 이의 있다
Phoenix Wright: Ace Attorney Trilogy,고등 고등 시절 시절 친구 친구 추천 추천 폰 다운 다운 받다 받다 해봤다 해봤다 재판 재판 게임 재미없다 재미없다 알다 알다 생각 하다 달리 달리 정말 재밌다 재밌다 플레이 하다 생각 이나 이나 이 명작 명작 겜 스팀 하다 수 있다 너무 좋다 좋다 아직 아직 역전재판 역전재판 접 하다 않다 하다 번 해보다 해보다 추천 추천 하다 완전 강추 강추 아직 아직 한글패치 한글패치 안되다 언어 언어 영어 영어 일본어 일본어 이렇게 없다 오다 오다 여름 여름 한글패치 한글패치 되다 하다
Phoenix Wright: Ace Attorney Trilogy,진짜 진짜 재밌다 재밌다 돈 주다 주다 하다 게 아깝다 아깝다 않다 정도 정도 임 파트 파트 하나 만 원 씩 생각 하다 그리다 그리다 비싸다 비싸다 제품 제품 아니다 생각 스토리 스토리 엄청 엄청 길다 길다 플레이 타임 타임 나름 나름 기다 기다 편 속 하다 스토리 스토리 진부 진부 하다 않다 파트 파트 마다 마다 매력 매력 있다 색 다 로워 로워 정말 즐겁다 즐겁다 것 같다 다만 단점 단점 존재 존재 하다 사투리 사투리 캐릭터 캐릭터 매력 매력 자다 자다 끌다 끌다 못 점 잦다 잦다 오타 오타 문제 문제 처음 처음 출시 하다 때 보다 번역 번역 상태 상태 나름 나름 매끄럽다 매끄럽다 편이 가끔 가끔 등장 등장 하다 마 이 나루 나루 호도 호도 이상하다 이상하다 존댓말 존댓말 이다 고도 고도 다른 캐릭터 캐릭터 포함 포함 되다 것 또한 앞 말 하다 사투리 사투리 캐릭터 캐릭터 성하다 성하다 사투리 사투리 점 예 들다 들다 나츠미 나츠미 관서 관서 출신 출신 불구 불구 전라도 전라도 충청도 충청도 경상도 경상도 사투리 사투리 하다 부 등장 등장 하다 토라 토라 경상도 경상도 사투리 사투리 베이스 베이스 사용 사용 있다 불구 불구 가끔 가끔 등장 등장 하다 전라도 전라도 충청도 충청도 사투리 사투리 쓴다 쓴다 아무튼 아무튼 전체 전체 매끄럽다 매끄럽다 못 하다 사투리 사투리 캐릭터 캐릭터 때문 보다 내내 내내 불편하다 불편하다 건 사다 사다 전체 전체 측면 측면 보다 땐 돈 주다 주다 하다 전혀 전혀 아깝다 아깝다 않다 게임 하다 역시 캡콤 캡콤 하다 생각 들다 들다 나름 나름 자다 자다 만들다 만들다 게임 속 하다 개인 개인 영매 영매 별로 별로 치우치다 치우치다 않다 편이 제일 제일 명작 명작 생각 하다 추리 추리 오컬트 오컬트 요소 요소 자다 자다 어울리다 어울리다 하다 것 같다 그래서 편 마무리 마무리 하다 않다 생각 들다 들다 그래도 개인 개인 너무 재밌다 재밌다 플레이 하다 것 기억 기억 남다 남다 게임 이다 나중 캡콤 캡콤 역전재판 역전재판 과 역검 역검 시리즈 시리즈 역전재판 역전재판 를 스팀 내주다 내주다 당당하다 당당하다 돈 내다 내다 살 의향 의향 있다 이 시리즈 시리즈 그렇다 만 가치 가치 있다 독자 독자 매력 매력 가지다 가지다 희다 희다 대의 대의 추리 추리 게임 생각 하다 복돌 복돌 하다 다 들다 들다 돈 주다 주다 하다
Phoenix Wright: Ace Attorney Trilogy,이의 이의 잇다 잇다 촴깐 촴깐 바다 바다 랏 등 말 로 몰입 몰입 감 더 해주다 해주다 역전재판 역전재판 굉장하다 굉장하다 재밌다 재밌다 플레이 하다 할인 하다 때 산다 산다 후회 후회 하다 않다 정도 정도 분량 분량 많다 많다
